Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity
2013-12-25,659.84333,128733,9365769151620400,8826075.0,24426498,5072026502721040000,12.31784641,4032575.0,116.099998,49.779999,18.76,182.929993,102.83000200000001,21.639999,1.880977815,12
2013-12-26,702.00083,121372,10549261875481400,8821575.0,24491172,5072026502721040000,13.36262326,4031298.5714285714,116.739998,50.200001,19.02,183.860001,102.099998,21.629998999999998,1.880977815,12
2013-12-27,758.0101599999997,124149,10587100130467100,8816975.0,24558562,5072026502721040000,12.27928333,4030022.142857143,117.120003,50.470001,19.27,183.850006,101.809998,21.59,1.880977815,12
2013-12-28,734.01166,114541,8699873932626150,8813225.0,24616738,5072026502721040000,11.65867105,4028745.7142857136,117.120003,50.470001,19.27,183.850006,101.809998,21.59,1.880977815,12
2013-12-29,717.92623,127888,9538580267509240,8809025.0,24672234,5072026502721040000,14.55153464,4027469.2857142864,117.120003,50.470001,19.27,183.850006,101.809998,21.59,1.880977815,12
2013-12-30,752.8202200000003,150364,10034657833911700,8804700.0,24747506,5072026502721040000,11.74180891,4026192.857142857,115.389999,50.080002,18.85,183.820007,102.510002,21.49,1.880977815,12
2013-12-31,744.17249,116734,10733336513366100,8800100.0,24807843,5072026502721040000,10.98600975,4024916.4285714286,116.120003,50.490002000000004,18.709999,184.690002,101.860001,21.52,1.880977815,12
2014-01-01,768.40783,94589,11209804679616300,8794975.0,24855859,5072026502721040000,9.36534252,4023640.0,116.120003,50.490002000000004,18.709999,184.690002,101.860001,21.52,1.885883433,8
2014-01-02,769.0984900000003,135242,9318153539884780,8791625.0,24924034,6092331202637470000,13.8118866,4024289.2857142864,118.0,49.799999,19.23,182.919998,102.16999799999999,21.65,1.885883433,8
2014-01-03,804.02719,141063,11240978748362700,8787600.0,25000384,6092331202637470000,13.81938881,4024938.5714285714,119.290001,49.669998,19.42,182.889999,102.16999799999999,21.74,1.885883433,8
2014-01-04,813.3174799999997,115579,9678538669053950,8784075.0,25059614,6092331202637470000,12.28749852,4025587.857142857,119.290001,49.669998,19.42,182.889999,102.16999799999999,21.74,1.885883433,8
2014-01-05,871.1158300000003,134235,13334315288149600,8779250.0,25129763,6092331202637470000,13.93812559,4026237.142857143,119.290001,49.669998,19.42,182.889999,102.16999799999999,21.74,1.885883433,8
2014-01-06,970.65083,176975,13146628037479800,8774625.0,25217036,6092331202637470000,29.50823266,4026886.4285714286,119.5,49.669998,19.42,182.360001,102.599998,21.68,1.885883433,8
2014-01-07,962.4644699999999,140702,12224027918912100,8770175.0,25290148,6092331202637470000,15.53038267,4027535.7142857136,118.82,50.049999,19.129998999999998,183.479996,102.860001,21.74,1.885883433,8
2014-01-08,855.7593300000003,145049,12980723787386400,8765350.0,25369974,6092331202637470000,14.12498292,4028185.0,118.120003,49.75,18.83,183.520004,102.58000200000001,21.780001000000002,1.885883433,8
2014-01-09,860.8416599999997,132972,14132329541283300,8760175.0,25440496,6092331202637470000,12.80728921,4034376.857142857,118.459999,49.580002,18.84,183.639999,103.18,21.76,1.885883433,8
2014-01-10,847.5325,124371,13188085278786000,8755500.0,25504939,6092331202637470000,12.53797561,4040568.7142857136,120.260002,49.68,19.379998999999998,184.139999,104.410004,21.67,1.885883433,8
2014-01-11,892.26115,128823,14246623749249700,8750250.0,25569297,6092331202637470000,12.25450903,4046760.5714285714,120.260002,49.68,19.379998999999998,184.139999,104.410004,21.67,1.885883433,8
2014-01-12,916.69666,114282,14234740038218800,8745100.0,25626421,6092331202637470000,11.79779395,4052952.4285714286,120.260002,49.68,19.379998999999998,184.139999,104.410004,21.67,1.885883433,8
2014-01-13,873.2716800000003,150180,14566205979972700,8740875.0,25695452,7686045629430180000,11.99050639,4059144.2857142864,121.019997,48.66,19.68,181.690002,104.93,21.620001000000002,1.885883433,8
2014-01-14,863.69888,129740,13844573334308300,8736800.0,25760475,7686045629430180000,16.08978681,4065336.142857143,119.889999,49.279999,19.42,183.669998,104.449997,21.66,1.885883433,8
2014-01-15,853.25666,130805,16177076660510600,8732200.0,25828605,7686045629430180000,16.85023545,4071528.0,119.660004,49.130001,19.4,184.66000400000001,104.339996,21.76,1.885883433,8
2014-01-16,874.07416,130710,16301730483744100,8727575.0,25889305,7686045629430180000,13.24725593,4075297.4285714286,119.790001,49.209998999999996,19.35,184.419998,105.040001,21.74,1.885883433,8
2014-01-17,842.1917300000001,128263,13374993539329900,8723775.0,25951230,7686045629430180000,14.67029517,4079066.857142857,120.93,49.169998,19.51,183.639999,105.480003,21.82,1.885883433,8
